"","state","prescribing.rate","year","state.abbr","region","overdose.rate"
"574","Washington",86.6,2008,"WA","West",7.9
"575","Washington",84.4,2007,"WA","West",7.1
"576","Washington",80.8,2006,"WA","West",7.7
"577","West Virginia",81.3,2017,"WV","South",43.1
"578","West Virginia",96,2016,"WV","South",33.7
"579","West Virginia",111.3,2015,"WV","South",26.8
"580","West Virginia",126.4,2014,"WV","South",22.3
"581","West Virginia",129,2013,"WV","South",21.9
"582","West Virginia",136.9,2012,"WV","South",22.6
"583","West Virginia",139.6,2011,"WV","South",27.5
"584","West Virginia",143.1,2010,"WV","South",22.4
"585","West Virginia",146.9,2009,"WV","South",8.1
"586","West Virginia",145.5,2008,"WV","South",18
"587","West Virginia",135.1,2007,"WV","South",16.5
"588","West Virginia",129.9,2006,"WV","South",14.7
"589","Wisconsin",52.6,2017,"WI","Midwest",11.5
"590","Wisconsin",62.2,2016,"WI","Midwest",9.5
"591","Wisconsin",67.5,2015,"WI","Midwest",6
"592","Wisconsin",71.9,2014,"WI","Midwest",6.2
"593","Wisconsin",73.8,2013,"WI","Midwest",6.1
"594","Wisconsin",76.8,2012,"WI","Midwest",4.8
"595","Wisconsin",75.2,2011,"WI","Midwest",5.2
"596","Wisconsin",74.4,2010,"WI","Midwest",5.1
"597","Wisconsin",71.9,2009,"WI","Midwest",4.9
"598","Wisconsin",70.6,2008,"WI","Midwest",4.7
"599","Wisconsin",69.2,2007,"WI","Midwest",5.3
"600","Wisconsin",64.7,2006,"WI","Midwest",4.8
"601","Wyoming",64.8,2017,"WY","West",6.2
"602","Wyoming",71.1,2016,"WY","West",4.8
"603","Wyoming",75.4,2015,"WY","West",6
"604","Wyoming",80.9,2014,"WY","West",6.2
"605","Wyoming",81.5,2013,"WY","West",5.5
"606","Wyoming",80.5,2012,"WY","West",4.7
"607","Wyoming",78.2,2011,"WY","West",6.2
"608","Wyoming",80.4,2010,"WY","West",6.4
"609","Wyoming",81,2009,"WY","West",4.3
"610","Wyoming",81,2008,"WY","West",5.3
"611","Wyoming",80.8,2007,"WY","West",NA
"612","Wyoming",79.9,2006,"WY","West",NA
